X1,X2,X3,X4,X5,X6,X7,X8,X9,Sex,Group,Group2,Obs
123,10.1,23,23,19,7.8,32,33,5.6,M,modern,m,1
137,9.6,19,22,19,7.8,32,40,5.8,M,modern,m,2
121,10.2,18,21,21,7.9,35,38,6.2,M,modern,m,3
130,10.7,24,22,20,7.9,32,37,5.9,M,modern,m,4
149,12,25,25,21,8.4,35,43,6.6,M,modern,m,5
125,9.5,23,20,20,7.8,33,37,6.3,M,modern,m,6
126,9.1,20,22,19,7.5,32,35,5.5,M,modern,m,7
125,9.7,19,19,19,7.5,32,37,6.2,M,modern,m,8
121,9.6,22,20,18,7.6,31,35,5.3,F,modern,m,9
122,8.9,20,20,19,7.6,31,35,5.7,F,modern,m,10
115,9.3,19,19,20,7.8,33,34,6.5,F,modern,m,11
112,9.1,19,20,19,6.6,30,33,5.1,F,modern,m,12
124,9.3,21,21,18,7.1,30,36,5.5,F,modern,m,13
128,9.6,22,21,19,7.5,32,38,5.8,F,modern,m,14
130,8.4,23,20,19,7.3,31,40,5.8,F,modern,m,15
127,10.5,25,23,20,8.7,32,35,6.1,F,modern,m,16
120,8.2,18,17,18,7,32,35,5.2,M,jackals,j,17
107,7.9,17,17,20,7,32,34,5.3,M,jackals,j,18
110,8.1,18,16,19,7.1,31,32,4.7,M,jackals,j,19
116,8.5,20,18,18,7.1,32,33,4.7,M,jackals,j,20
114,8.2,19,18,19,7.9,32,33,5.1,M,jackals,j,21
111,8.5,19,16,18,7.1,30,33,5,M,jackals,j,22
113,8.5,17,18,19,7.1,30,34,4.6,M,jackals,j,23
117,8.7,20,17,18,7,30,34,5.2,M,jackals,j,24
114,9.4,21,19,19,7.5,31,35,5.3,M,jackals,j,25
112,8.2,19,17,19,6.8,30,34,5.1,M,jackals,j,26
110,8.5,18,17,19,7,31,33,4.9,F,jackals,j,27
111,7.7,20,18,18,6.7,30,32,4.5,F,jackals,j,28
107,7.2,17,16,17,6,28,35,4.7,F,jackals,j,29
108,8.2,18,16,17,6.5,29,33,4.8,F,jackals,j,30
110,7.3,19,15,17,6.1,30,33,4.5,F,jackals,j,31
105,8.3,19,17,17,6.5,29,32,4.5,F,jackals,j,32
107,8.4,18,17,18,6.2,29,31,4.3,F,jackals,j,33
106,7.8,19,18,18,6.2,31,32,4.4,F,jackals,j,34
111,8.4,17,16,18,7,30,34,4.7,F,jackals,j,35
111,7.6,19,17,18,6.5,30,35,4.6,F,jackals,j,36
123,9.7,22,21,20,7.8,27,36,6.1,M,cuons,c,37
135,11.8,25,21,23,8.9,31,38,7.1,M,cuons,c,38
138,11.4,25,25,22,9,30,38,7.3,M,cuons,c,39
141,10.8,26,25,21,8.1,29,39,6.6,M,cuons,c,40
135,11.2,25,25,21,8.5,29,39,6.7,M,cuons,c,41
136,11,22,24,22,8.1,31,39,6.8,M,cuons,c,42
131,10.4,23,23,23,8.7,30,36,6.8,M,cuons,c,43
137,10.6,25,24,21,8.3,28,38,6.5,M,cuons,c,44
135,10.5,25,25,21,8.4,29,39,6.9,M,cuons,c,45
131,10.9,25,24,21,8.5,29,35,6.2,F,cuons,c,46
130,11.3,22,23,21,8.7,29,37,7,F,cuons,c,47
144,10.8,24,26,22,8.9,30,42,7.1,F,cuons,c,48
139,10.9,26,23,22,8.7,30,39,6.9,F,cuons,c,49
123,9.8,23,22,20,8.1,26,34,5.6,F,cuons,c,50
137,11.3,27,26,23,8.7,30,39,6.5,F,cuons,c,51
128,10,22,23,22,8.7,29,37,6.6,F,cuons,c,52
122,9.9,22,22,20,8.2,26,36,5.7,F,cuons,c,53
167,11.5,29,28,25,9.5,41,45,7.2,M,wolves,w,54
164,12.3,27,26,25,10,42,47,7.9,M,wolves,w,55
150,11.5,21,24,25,9.3,41,46,8.5,M,wolves,w,56
145,11.3,28,24,24,9.2,36,41,7.2,M,wolves,w,57
177,12.4,31,27,27,10.5,43,50,7.9,M,wolves,w,58
166,13.4,32,27,26,9.5,40,47,7.3,M,wolves,w,59
164,12.1,27,24,25,9.9,42,45,8.3,M,wolves,w,60
165,12.6,30,26,25,7.7,40,43,7.9,M,wolves,w,61
131,11.8,20,24,23,8.8,38,40,6.5,F,wolves,w,62
163,10.8,27,24,24,9.2,39,48,7,F,wolves,w,63
164,10.7,24,23,26,9.5,43,47,7.6,F,wolves,w,64
141,10.4,20,23,23,8.9,38,43,6,F,wolves,w,65
148,10.6,26,21,24,8.9,39,40,7,F,wolves,w,66
158,10.7,25,25,24,9.8,41,45,7.4,F,wolves,w,67
112,10.1,17,18,19,7.7,31,33,5.8,U,prehistoric.dogs,p,68
115,10,18,23,20,7.8,33,36,6,U,prehistoric.dogs,p,69
136,11.9,22,25,21,8.5,36,39,7,U,prehistoric.dogs,p,70
111,9.9,19,20,18,7.3,29,34,5.3,U,prehistoric.dogs,p,71
130,11.2,23,27,20,9.1,35,35,6.6,U,prehistoric.dogs,p,72
125,10.7,19,26,20,8.4,33,37,6.3,U,prehistoric.dogs,p,73
132,9.6,19,20,19,9.7,35,38,6.6,U,prehistoric.dogs,p,74
121,10.7,21,23,19,7.9,32,35,6,U,prehistoric.dogs,p,75
122,9.8,22,23,18,7.9,32,35,6.1,U,prehistoric.dogs,p,76
124,9.5,20,24,19,7.6,32,37,6,U,prehistoric.dogs,p,77